Name,Producer,Origin,Vegan
Château Tanunda Three Graces,Château Tanunda,Australia,Unknown
"Château Tanunda Three Graces Marsanne, Viognier, Roussanne",Château Tanunda,Australia,Unknown
Chateau Tifayne Wines,Chateau Tifayne,France,Yes
Château Toinet Lavalade Wines,Barton & Guestier,France,Yes
Château Vieux Maurac Wines,Barton & Guestier,France,Yes
Châteauneuf du Pape Cuvée 13,Aldi (UK),England,Yes
Chatham Church Creek Cabernet Franc,Chatham Vineyards,USA,Yes
Chatham Church Creek Chardonnay ~ Oak Blend,Chatham Vineyards,USA,Yes
Chatham Church Creek Chardonnay ~ Steel Fermented,Chatham Vineyards,USA,Yes
Chatham Church Creek Late Harvest Desert Wine,Chatham Vineyards,USA,Yes
Chatham Church Creek Merlot,Chatham Vineyards,USA,Yes
Chatham Church Creek Rosé,Chatham Vineyards,USA,Yes
Chatham Church Creek Vintner's Blend,Chatham Vineyards,USA,Yes
Chatham Hill Wines,Chatham Hill Winery,USA,No
Chatham King Neptune Cabernet Franc,Chatham Vineyards,USA,Yes
Chatham King Neptune Steel Chardonnay,Chatham Vineyards,USA,Yes
Chatham VSO Merlot,Chatham Vineyards,USA,Yes
Chautauqua Wild Honeyflower,"Chautauqua Vineyards and Winery, Inc.",USA,No
Chautauqua Wines (except Wild Honeyflower),"Chautauqua Vineyards and Winery, Inc.",USA,Yes
Cheap Red Wine,"Vin Ordinaire, Ltd",USA,Yes
Cheap White Wine,"Vin Ordinaire, Ltd",USA,Yes
Cherry B,Accolade Wines,Australia,No
Cherry Creek Wine,Cherry Creek Wine,USA,Yes
Cherubino 'Cowaramup' Cabernet Sauvignon,Larry Cherubino Wines,Australia,No
Cherubino 'Frankland River' Cabernet Sauvignon,Larry Cherubino Wines,Australia,No
Cherubino 'Frankland River' Shiraz,Larry Cherubino Wines,Australia,No
Cherubino 'Frankland River' Shiraz,Larry Cherubino Wines,Australia,No
Cherubino 'Great Southern' Cabernet Sauvignon,Larry Cherubino Wines,Australia,No
Cherubino 'Great Southern' Riesling,Larry Cherubino Wines,Australia,No
Cherubino 'Margaret River' Cabernet Sauvignon,Larry Cherubino Wines,Australia,No
Cherubino 'Margaret River' Chardonnay,Larry Cherubino Wines,Australia,No
Cherubino 'Mt Barker' Riesling,Larry Cherubino Wines,Australia,No
Cherubino 'Pemberton' Sauvignon Blanc,Larry Cherubino Wines,Australia,No
Cherubino 'Porongurup' Chardonnay,Larry Cherubino Wines,Australia,No
Cherubino 'Porongurup' Riesling,Larry Cherubino Wines,Australia,No
Cherubino 'Porongurup' Sauvignon Blanc,Larry Cherubino Wines,Australia,No
Cherubino 'Wilyabrup' Cabernet Sauvignon,Larry Cherubino Wines,Australia,No
Chester Gap Red Wines,Chester Gap Cellars,USA,Yes
Chester Gap White Wines,Chester Gap Cellars,USA,No
Chester's Anvil 2011 Hattori Hanzo,Lagier Meredith Vineyard,USA,Yes
Chester's Anvil 2011 Malbec,Lagier Meredith Vineyard,USA,Yes
Chester's Anvil 2012 Gretna Green,Lagier Meredith Vineyard,USA,Yes
Chester's Anvil 2012 Pinot Noir,Lagier Meredith Vineyard,USA,Yes
Chester's Anvil Zinfandel,Lagier Meredith Vineyard,USA,Yes
Chet Valley Wines,Chet Valley Vineyard,England,Yes
Chiarli Wine,Chiarli,Italy,No
Chill Out Cabernet Sauvignon,Altia Plc,Finland,No
Chill Out Mountains Malbec Organic,Altia Plc,Finland,Yes
Chimney Rock wines (2002-2008),Chimney Rock,USA,Yes
Chimney Rock wines (2009-2012),Chimney Rock,USA,Unknown
Chimney Rock wines (2013-2017),Chimney Rock,USA,No
China Bend Wine,China Bend Winery,USA,Yes
Chinook Wine,Chinook Wines,USA,Yes
Chloe Chardonnay,Chloe Wine Collection,USA,No
Chloe Pinot Grigio,Chloe Wine Collection,USA,No
Chloe Pinot Noir,Chloe Wine Collection,USA,No
Chloe Prosecco,Chloe Wine Collection,USA,No
Chloe Red No. 249,Chloe Wine Collection,USA,No
Chloe Rose,Chloe Wine Collection,USA,No
Chocolate Drop Mulled Wine,Broadland Wineries,England,Yes
Chocolate Drop Red Wine,Broadland Wineries,England,Yes
Chocolate Shop Crème de Cocoa,Chocolate Shop Wine,USA,No
Chocolate Shop Red,Chocolate Shop Wine,USA,Yes
Chocolate Shop Wine,Precept Wine,USA,No
ChocolatRouge,E & J Gallo,USA,No
Choix de Rimay,Brouwerij Haacht,The Netherlands,No
CHONO Wine,Geo Wines,Chile,No
Chris Joyce Wines,Chris Joyce Wine,USA,Yes
Chris Ringland 2009 Hoffmann Vineyard Shiraz,Chris Ringland Shiraz LLC,USA,Yes
Chris Ringland 2010 Barossa Ranges Shiraz,Chris Ringland Shiraz LLC,USA,Yes
Chris Ringland 2010 Randall’s Hill Shiraz,Chris Ringland Shiraz LLC,USA,Yes
Chris Ringland 2012 21st Anniversary Shiraz ,Chris Ringland Shiraz LLC,USA,Yes
Chris Ringland 2012 Dimchurch Shiraz,Chris Ringland Shiraz LLC,USA,Yes
Chris Ringland 2014 Reservation Shiraz,Chris Ringland Shiraz LLC,USA,Yes
Chris Ringland 2015 Sealed Shiraz,Chris Ringland Shiraz LLC,USA,No
Chris Ringland 2016 CR Shiraz,Chris Ringland Shiraz LLC,USA,No
Christian Brothers Port,Heaven Hill Distilleries,USA,Yes
Christian Brothers Sherry,Heaven Hill Distilleries,USA,Yes
Christina Van Loveren Premium Single Vinyard Range,Van Loveren Vineyards,South Africa,No
Christkindl Gluhwein,Lidl,England,No
Christophe Pacalet Wines,Christophe Pacalet,France,Yes
Christoval 2010 Barbera,Christoval Vineyards,USA,Yes
Christoval 2010 Vinter's Select Merlot,Christoval Vineyards,USA,Yes
Christoval 2010 Vinter's Select Merlot,Christoval Vineyards,USA,Yes
Christoval 2011 Angelo Blush,Christoval Vineyards,USA,Yes
Christoval 2011 Angelo Red,Christoval Vineyards,USA,Yes
Christoval 2011 Estate Vermentino,Christoval Vineyards,USA,Yes
Christoval 2011 Old Vine Estate Riesling,Christoval Vineyards,USA,Yes
Christoval 2011 Rambouillet Roussanne,Christoval Vineyards,USA,Yes
Christoval 2011 Rambouillet Viognier,Christoval Vineyards,USA,Yes
Christoval Barrel Reserve Merlot,Christoval Vineyards,USA,Yes
Christoval Rambouillet Sweet Cabernet ,Christoval Vineyards,USA,Yes
Christoval Sparkling Almond Wine,Christoval Vineyards,USA,Yes
Christoval Tempranillo,Christoval Vineyards,USA,Yes
Chronic Cellars 2015 Purple Paradise,Chronic Cellars,USA,Yes
Chronic Cellars 2016 Dead Nuts,Chronic Cellars,USA,No
Chronic Cellars 2016 Kindly Swallows,Chronic Cellars,USA,No
Chronic Cellars 2016 Love Machine,Chronic Cellars,USA,No
Chronic Cellars 2016 Mr. Nibbles,Chronic Cellars,USA,No
Chronic Cellars 2016 Ricardo Grande,Chronic Cellars,USA,No
Chronic Cellars 2016 Robyn Cradles,Chronic Cellars,USA,No
Chronic Cellars 2016 Suite Petite,Chronic Cellars,USA,Yes
Chronic Cellars 2016 Tranquilo,Chronic Cellars,USA,No
Chronic Cellars 2017 Pink Pedals,Chronic Cellars,USA,No
Chronic Cellars 2017 Purple Paradise,Chronic Cellars,USA,No
Chronic Cellars 2017 Sofa King Bueno,Chronic Cellars,USA,No
Chronic Cellars 2017 Stone Fox,Chronic Cellars,USA,No
Chrysalis Reds,Chrysalis Vineyards,USA,Yes
Chrysalis Whites,Chrysalis Vineyards,USA,No
Church & State Lost Inhibitions Wines,Church & State Wines,Canada,Yes
Church & State Wine,Church & State Wines,Canada,Yes
Church Road Wine,Church Road,New Zealand,No
Churchview Bartondales Wines,Churchview Estate,Australia,Yes
Churchview Estate Wines,Churchview Estate,Australia,No
Churchview Silverleaf Wines,Churchview Estate,Australia,No
Churchview St. Johns Wines,Churchview Estate,Australia,Yes
Churton Best End Sauvignon Blanc,Churton Ltd,New Zealand,Yes
Churton Natural State Field Blend,Churton Ltd,New Zealand,Yes
Churton Natural State Pinot Noir,Churton Ltd,New Zealand,Yes
Churton Petit Manseng,Churton Ltd,New Zealand,Unknown
Churton Viognier,Churton Ltd,New Zealand,Unknown
Ciao Wines,Cantine Sgarzi Luigi srl,Italy,Yes
Cima Collina  wine,Cima Collina Winery,USA,Yes
Cimarosa Australian Chardonnay,Lidl,England,No
Cimarosa Malborough Sauvignon Blanc,Lidl,England,No
Cinder Chardonnay 2013,Cinder Winery,USA,No
Cinder Dry Rosé 2013,Cinder Winery,USA,Yes
Cinder Dry Viognier 2013,Cinder Winery,USA,No
Cinder Merlot/Cabernet/Malbec 2012,Cinder Winery,USA,Yes
Cinder Off-Dry Viognier 2013,Cinder Winery,USA,No
Cinder Syrah 2012,Cinder Winery,USA,Yes
Cinder Tempranillo 2012,Cinder Winery,USA,Yes
Cinnabar Wine,Cinnabar Wines,USA,Yes
Cinque Stelle Winery,Cinque Stelle Winery,USA,Yes
Circa Estate Wine,Circa Estate Winery,USA,Yes
Circe Reds,Avelino Vegas,Spain,No
Circe Whites,Avelino Vegas,Spain,Yes
Ciro Picariello Wine,Ciro Picariello,Italy,Yes
Cisco Wine,Cisco Wines,USA,No
Citrusdal Wine,Citrusdal Wines,South Africa,Yes
City Scape Wines,City Scape Winery,USA,Yes
CJS Wines,CJS Vineyards,USA,Yes
CK Mondavi 2008 Zinfandel,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2009 Cabernet Sauvignon,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2009 Field Blend,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2009 Merlot,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2010 Chardonnay,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2010 Moscato,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2010 Pinot Grigio,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2010 Sauvignon Blanc,CK Mondavi Family Vineyards,USA,Unknown
CK Mondavi 2010 White Zinfandel,CK Mondavi Family Vineyards,USA,Unknown
Clai Wines,Clai d.o.o.,Croatia,Yes
Clairault Wine,Clairault Wines,Australia,No
Clarendon Hills Wine,E & J Gallo,USA,No
Clarksburg Wine,Clarksburg Wine Company,USA,No
Clavey Wines,Clavey Vineyards & Winery,USA,Yes
Clayhouse,Clayhouse,USA,No
Clean Slate Reisling,WINEBOW,USA,No
Cliffhanger Vineyards Pinot Grigio,Mezzacorona,Italy,Yes
Cliffhanger Vineyards Proprietary Red Blend,Mezzacorona,Italy,Yes
Clifford Bay Wines,Foley Family Wines,New Zealand,No
Cline Cellars Wine,Cline Cellars,USA,Yes
Clos De Lolol Wines,Domaines François Lurton,France,Unknown
Clos de los Siete Wines,Clos de los Siete,Argentina,Yes
Clos de Pirque Wines,Clos de Pirque,Chile,No
Clos des Fous Wines,Clos des Fous,Chile,Yes
Clos du Bois Wine,Clos du Bois Winery,USA,No
Clos du Soleil Capella,Clos du Soleil Winery,Canada,Yes
Clos du Soleil Fume Blanc,Clos du Soleil Winery,Canada,Yes
Clos du Soleil Pinot Blanc,Clos du Soleil Winery,Canada,Yes
Clos du Soleil Rosé,Clos du Soleil Winery,Canada,Yes
Clos du Val Cabernet Sauvignon,Clos Du Val Wine Company,USA,No
Clos du Val Merlot,Clos Du Val Wine Company,USA,No
Clos du Val Pinot Noir,Clos Du Val Wine Company,USA,Yes
Clos du Val White Wine,Clos Du Val Wine Company,USA,Yes
Clos Landry Wines,Clos Landry,France,Yes
Clos Pepe Estate Vineyards,Clos Pepe Estate Vineyards,USA,Yes
Closson Chase 2014 Churchside Pinot Noir VQA PEC,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase 2014 K.J. Watson Pinot Noir VQA Niagara River,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase 2014 Vineyard Chardonnay VQA PEC,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase 2014 Vineyard Pinot Noir VQA PEC,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase 2014 Vineyard South Clos Chardonnay VQA PEC,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase 2016 KJ Watson Pinot Gris,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase 2016 MOSAIC,Closson Chase Ltd Partnership,Canada,Yes
Closson Chase pre-2014 Wines,Closson Chase Ltd Partnership,Canada,No
Cloud Break Black Cloud Red Blend,Cloud Break Wines,USA,Yes
Cloud Break Chardonnay,Cloud Break Wines,USA,No
Cloud Break Merlot,Cloud Break Wines,USA,Yes
Cloud Break Moscato,Cloud Break Wines,USA,Yes
Cloud Break Petite Syrah,Cloud Break Wines,USA,Yes
Cloud Break Pinot Noir,Cloud Break Wines,USA,Yes
Cloud Break Sauvignon Blanc,Cloud Break Wines,USA,No
Cloud Break Zinfandel,Cloud Break Wines,USA,Yes
Cloud Wine Chenin Blanc,Cloud Wine,Canada,Yes
Cloud Wine Shiraz / Petite Sirah,Cloud Wine,Canada,Yes
Cloudfall Chardonnay,Trinchero Family Vineyards,USA,Yes
Cloudfall Pinot Noir,Trinchero Family Vineyards,USA,Yes
Cloudfall Red,Trinchero Family Vineyards,USA,Yes
Cloudy Bay 2006 Pelorus Vintage,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2007 Late Harvest Riesling,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2007 Riesling,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2008 Gewurztraminer,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2009 Te Koko,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2010 Chardonnay,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2010 Pinot Noir,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2010 Riesling,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2011 Pinot Gris,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay 2012 Sauvignon Blanc,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay Pelorus Brut,Cloudy Bay Vineyards,New Zealand,No
Cloudy Bay Pelorus Rose,Cloudy Bay Vineyards,New Zealand,No
Clover Hill Wines (Australia),Clover Hill Wines (Australia),Australia,No
"Clover Hill Wines (Pennsylvania, USA)",Clover Hill Vineyards & Winery (USA),USA,Unknown
Club W partner/international wines,Club W,USA,Unknown
Club W-produced wines,Club W,USA,Yes
Co-op Supermarket Hereford Tempranillo Malbec,Co-op Supermarket,England,Yes
Co-op Supermarket Prosecco,Co-op Supermarket,England,Yes
Co-op Wines (unless listed),Co-op Supermarket,England,Unknown
Coastline,Adler Falls Winery,USA,No
Coates Wines,Coates Wines,Australia,Yes
Cockatoo Ridge Wines,Cockatoo Ridge,Australia,No
Cockburn’s Quinta dos Canais Vintage Port,Symington Family Estates,Portugal,Yes
Cockburn’s Special Reserve,Symington Family Estates,Portugal,Yes
Cockburn’s Vintage Port,Symington Family Estates,Portugal,Yes
Cocobon Wines,Cocobon Cellars,USA,No
"Codorníu Anna de Codorníu Rosé, Brut NV",Codorniu Wines,England,Yes
"Codorníu Anna de Codorníu, Brut NV",Codorniu Wines,England,Yes
"Codorníu Clásico 1872, Brut NV",Codorniu Wines,England,Yes
"Codorníu Clásico 1872, Semi-Seco NV",Codorniu Wines,England,Yes
"Codorníu Clásico Rosado, Brut NV",Codorniu Wines,England,Yes
"Codorníu Extra Rosado, Brut NV",Codorniu Wines,England,Yes
"Codorníu Extra, Brut NV",Codorniu Wines,England,Yes
"Codorníu Original Rosado, Brut NV",Codorniu Wines,England,Yes
"Codorníu Original, Brut NV",Codorniu Wines,England,Yes
"Codorníu Pinot Noir Rosé, Brut NV",Codorniu Wines,England,Yes
"Codorníu Reina Maria Cristina Blanc de Noirs, Reserva 2008",Codorniu Wines,England,Yes
"Codorníu Reina Maria Cristina, Reserva 2007",Codorniu Wines,England,Yes
"Codorníu Selección Raventós, Brut NV",Codorniu Wines,England,Yes
Codorníu Vintage Brut,Codorniu Wines,England,Yes
Codorníu Vintage Rosado Brut,Codorniu Wines,England,Yes
Cody Kresta 2011 Skeet’s Revelry,Cody Kresta Vineyard & Winery,USA,No
Cody Kresta 2013 Chambourcin,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2013 Late Harvest Vidal Blanc,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2013 Merlot Reserve,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2013 Mystique White,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2013 Pinot Gris,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2013 Tri Vina,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2013 Vidal Blanc Ice Wine,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2014 Dry Riesling,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2014 Mystique White,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2014 Petoro,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2014 Riesling,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2014 White Cabernet Franc,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 Cabernet Sauvignon Rosé,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 Chardonnay,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 Kresta Azure,Cody Kresta Vineyard & Winery,USA,No
Cody Kresta 2015 Kresta Red,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 La Crescent,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 Peach,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 Rudy’s Red,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta 2015 Seyval Blanc,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta Ĉetiri,Cody Kresta Vineyard & Winery,USA,Yes
Cody Kresta Tradition,Cody Kresta Vineyard & Winery,USA,Yes
Coelho 2007 AVENTURA PORTUGUESE VARIETAL DESSERT WINE,Coelho Winery,USA,Yes
Coelho 2009 ANTECIPAÇÃO PETITE SIRAH,Coelho Winery,USA,Yes
Coelho 2009 APRECIAÇÃO ESTATE CHARDONNAY,Coelho Winery,USA,Yes
Coelho 2009 ESPONTÂNEO MARÉCHAL FOCH,Coelho Winery,USA,Yes
Coelho 2009 PACIÊNCIA ESTATE PINOT NOIR,Coelho Winery,USA,Yes
Coelho 2009 TRADIÇÃO RED WINE,Coelho Winery,USA,Yes
Coelho 2010 RENOVAÇÃO ESTATE PINOT GRIS,Coelho Winery,USA,Yes
Coelho 2010 SERENIDADE MARÉCHAL FOCH DESSERT WINE,Coelho Winery,USA,Yes
Coeur de Terre 2002 Renelle's Block Reserve Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2005 Renelle's Block Reserve Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2006 Dry Riesling,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2006 Renelle's Block Reserve Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2007 Renelle's Block Reserve Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2009 Dry Riesling,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2009 Estate Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2009 Renelle's Block Reserve Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2010 Dry Riesling,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2010 Estate Pinot Noir,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2010 Late Harvest Riesling,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2012 Pinot Gris,Coeur de Terre Vineyard,USA,Yes
Coeur de Terre 2012 Rose' Rustique',Coeur de Terre Vineyard,USA,No
Coffin Ridge Wines,Coffin Ridge Boutique Winery,Canada,Yes
COILED Black Mamba,COILED Wines,USA,Yes
COILED Dry Riesling,COILED Wines,USA,Yes
COILED Sidewinder Syrah,COILED Wines,USA,Yes
Colaneri Estate Wines,Colaneri Estate Winery,Canada,Yes
Colby Red Wine,Colby Red Wine,USA,Yes
Colchester Ridge Estate Winery,Colchester Ridge Estate Winery,Canada,Yes
Coldstream Hills 2015 table wines,Coldstream Hills,Australia,Yes
Coldstream Hills Wine (unless noted),Coldstream Hills,Australia,No
Colene Clemens 2009 ESTATE PINOT NOIR,Colene Clemens Vineyards,USA,Yes
Colene Clemens 2009 RESERVE PINOT NOIR,Colene Clemens Vineyards,USA,Yes
Colene Clemens 2009 VICTORIA PINOT NOIR ,Colene Clemens Vineyards,USA,Yes
Colle Bereto Chianti Classico,Colle Bereto,Italy,Yes
Colle Bereto Colle B,Colle Bereto,Italy,Yes
Colle Bereto Il Cenno,Colle Bereto,Italy,Yes
Colle Bereto Il Tocco,Colle Bereto,Italy,Yes
Colle Bereto Riserva Chianti Classico,Colle Bereto,Italy,Yes
Collectif Anonyme 1+1=3,Collectif Anonyme,France,Yes
Collectif Anonyme Beau Oui Comme Bowie,Collectif Anonyme,France,Yes
Collectif Anonyme Big Rock Candy Mountain,Collectif Anonyme,France,Yes
Collectif Anonyme CA Rouge,Collectif Anonyme,France,Yes
Collectif Anonyme Chemin F,Collectif Anonyme,France,Yes
Collectif Anonyme Île Dans Le Ciel,Collectif Anonyme,France,Yes
"Collectif Anonyme Misery And Mountains, Arrows And Bows",Collectif Anonyme,France,Yes
Collectif Anonyme Monstrum,Collectif Anonyme,France,Yes
Collectif Anonyme Wild Cowboy Number One,Collectif Anonyme,France,Yes
Collectif Anonyme XTRMNTR,Collectif Anonyme,France,Yes
Colliano Cuvee White,Vinska Klet Goriška Brda,Slovenia,Yes
Colliano Peneca Sparkling Rebula ,Vinska Klet Goriška Brda,Slovenia,Yes
Colliano Reds,Vinska Klet Goriška Brda,Slovenia,No
Colliano Ribolla Gialla,Vinska Klet Goriška Brda,Slovenia,Yes
Colliano Sauvignonasse,Vinska Klet Goriška Brda,Slovenia,Yes
Collide 2011,Mark Herold Wines,USA,Yes
Collin-Bourisset Beaujolais,Collin-Bourisset,France,Yes
Collin-Bourisset Beaujolais Château Pérussel,Collin-Bourisset,France,Yes
Collin-Bourisset Beaujolais-Villages,Collin-Bourisset,France,Yes
Collin-Bourisset Beaujolais-Villages Château de La Tour Goyon,Collin-Bourisset,France,Yes
Collin-Bourisset Beaujolais-Villages Domaine des Hospices Civils de Lyon,Collin-Bourisset,France,Yes
Collin-Bourisset Bourgogne Chardonnay,Collin-Bourisset,France,Yes
Collin-Bourisset Bourgogne Pinot Noir,Collin-Bourisset,France,Yes
Collin-Bourisset Brouilly Domaine de Reverdon,Collin-Bourisset,France,Yes
Collin-Bourisset Brouilly Les Terres Bleues,Collin-Bourisset,France,Yes
Collin-Bourisset Chablis,Collin-Bourisset,France,Yes
Collin-Bourisset Châteauneuf du Pape,Collin-Bourisset,France,Yes
Collin-Bourisset Côte du Rhône,Collin-Bourisset,France,Yes
Collin-Bourisset Coteaux Bourguignons Blanc,Collin-Bourisset,France,No
Collin-Bourisset Coteaux Bourguignons Rouge,Collin-Bourisset,France,Yes
Collin-Bourisset Fleurie,Collin-Bourisset,France,Yes
Collin-Bourisset Juliénas Les Vieilles Roches,Collin-Bourisset,France,Yes
Collin-Bourisset Mâcon Chardonnay L'Authentique,Collin-Bourisset,France,Yes
Collin-Bourisset Mâcon Rouge Château de Berzé,Collin-Bourisset,France,Yes
Collin-Bourisset Mâcon Rouge Les Teppes Marius,Collin-Bourisset,France,Yes
Collin-Bourisset Mâcon-Fuissé Les Monts,Collin-Bourisset,France,Yes
Collin-Bourisset Mâcon-Villages Les Burdines,Collin-Bourisset,France,No
Collin-Bourisset Morgon Côte de Py Vieilles Vignes,Collin-Bourisset,France,Yes
Collin-Bourisset Morgon Domaine de la Garodière,Collin-Bourisset,France,Yes
Collin-Bourisset Morgon Les Trois Porches,Collin-Bourisset,France,Yes
Collin-Bourisset Moulin à Vent Domaine Bourisset,Collin-Bourisset,France,Yes
Collin-Bourisset Moulin-à-Vent des Hospices de Romanèche-Thorins,Collin-Bourisset,France,Yes
Collin-Bourisset Pouilly-Fuissé Château La Vernalle,Collin-Bourisset,France,Yes
Collin-Bourisset Pouilly-Fuissé Rive Droite,Collin-Bourisset,France,Yes
Collin-Bourisset Saint-Amour Douce Folie,Collin-Bourisset,France,Yes
Collin-Bourisset Silk Chardonnay,Collin-Bourisset,France,Yes
Collin-Bourisset Silk Cinsault Rosé,Collin-Bourisset,France,Yes
Collin-Bourisset Silk Gamay Syrah,Collin-Bourisset,France,Yes
Collin-Bourisset Vin de France - Bourisset Blanc,Collin-Bourisset,France,Yes
Collin-Bourisset Vin de France - Bourrisset Rosé,Collin-Bourisset,France,Yes
Collin-Bourisset Vin de France - Bourrisset Rouge,Collin-Bourisset,France,Yes
Collin-Bourisset Viré Cléssé Vieilles Vignes,Collin-Bourisset,France,Yes
Collina Dalla Valle (1999 and earlier),Dalla Valle Vineyards,USA,No
Collina Dalla Valle (2000 and later),Dalla Valle Vineyards,USA,Yes
Colline Novaresi Nebbiolo DOC,Azienda Agricola Fontechiara,Italy,Yes
Colline Novaresi Rosato DOC,Azienda Agricola Fontechiara,Italy,Yes
Colline Novaresi Vespolina DOC,Azienda Agricola Fontechiara,Italy,Yes
Colombar,Van Loveren Vineyards,South Africa,No
Colores del Sol Malbec,Colores del Sol,Argentina,No
Columbia Crest H3 2014 Chardonnay,Columbia Crest,USA,Yes
Columbia Crest H3 2014 Match Day Red Wine,Columbia Crest,USA,Yes
Columbia Crest H3 2015 Cabernet Sauvignon,Columbia Crest,USA,Yes
Columbia Crest H3 2015 Les Chevaux Red Wine,Columbia Crest,USA,Yes
Columbia Crest H3 2015 Sauvignon Blanc,Columbia Crest,USA,Yes
Columbia Crest H3 2016 Merlot,Columbia Crest,USA,Yes
Columbia Crest wines (unless listed),Columbia Crest,USA,No
Columbia Gardens Wines,Columbia Gardens Winery,Canada,Yes
Columbia Gorge Chardonnay,Klickitat Canyon Winery,USA,Yes
Columbia Gorge Lemberger,Klickitat Canyon Winery,USA,Yes
Columbia Gorge Merlot,Klickitat Canyon Winery,USA,Yes
Columbia Gorge Mueller-Thurgau,Klickitat Canyon Winery,USA,Yes
Columbia Gorge Rooster Red,Klickitat Canyon Winery,USA,Yes
Columbia Wines,Columbia Winery,USA,No
Companhia das Quintas Wines (unless listed),Companhia das Quintas,Portugal,Unknown
Complicated Chardonnay,Trinchero Family Vineyards,USA,No
Complicated Pinot Noir,Trinchero Family Vineyards,USA,No
Complicated Red,Trinchero Family Vineyards,USA,Yes
Comte de Senneval Brut Champagne,Lidl,England,Yes
Concannon Conservancy Wine,Concannon Vineyard,USA,Yes
Concannon Glen Ellen Reserve Wine,Concannon Vineyard,USA,Yes
Concannon Heritage Wine,Concannon Vineyard,USA,Yes
Concannon Reserve Wine,Concannon Vineyard,USA,Yes
Concannon Selected Vineyards Wine,Concannon Vineyard,USA,Yes
Concha y Toro Gran Reserva Serie Riberas Cabernet Sauvignon,Concha y Toro,Chile,Yes
Concha y Toro Gran Reserva Serie Riberas Carmenere,Concha y Toro,Chile,Yes
Concha y Toro Gran Reserva Serie Riberas Malbec,Concha y Toro,Chile,Yes
Concha y Toro Marques de Casa Concha Cabernet Sauvignon,Concha y Toro,Chile,Yes
Concha y Toro Marques de Casa Concha Carmenere,Concha y Toro,Chile,Yes
Concha y Toro Marques de Casa Concha Merlot,Concha y Toro,Chile,Yes
Concha y Toro Marques de Casa Concha Pinot Noir,Concha y Toro,Chile,Yes
Concha y Toro Marques de Casa Concha Syrah,Concha y Toro,Chile,Yes
